Statistical profiling result from isolate-0x4d3c790-366793-v8.log, (51837 ticks, 2489 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     23    0.0%    0.2%  LazyCompile: *append /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/it-length-prefixed/node_modules/bl/BufferList.js:225:47
     22    0.0%    0.2%  LazyCompile: *getHash /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/libp2p-noise/dist/src/handshakes/abstract-handshake.js:107:12
     22    0.0%    0.2%  LazyCompile: *decodeUnsafe /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/@multiformats/base-x/src/index.js:68:25
     21    0.0%    0.2%  RegExp: .{1,64}
     21    0.0%    0.2%  LazyCompile: *concat node:buffer:536:32
     21    0.0%    0.2%  LazyCompile: *asn1.toDer /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/node-forge/lib/asn1.js:637:22
     21    0.0%    0.2%  LazyCompile: *_fromDer /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/node-forge/lib/asn1.js:461:18
     21    0.0%    0.2%  LazyCompile: *_fixedNafMul /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/bcrypto/lib/js/elliptic.js:443:15
     20    0.0%    0.2%  LazyCompile: *append /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/bl/BufferList.js:225:47
     19    0.0%    0.2%  LazyCompile: *sink /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/libp2p-mplex/src/stream.js:77:11
     19    0.0%    0.2%  LazyCompile: *module.exports /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/multistream-select/src/select.js:8:18
     19    0.0%    0.2%  LazyCompile: *get bytes /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/libp2p-crypto/src/keys/rsa-class.js:29:13
     19    0.0%    0.2%  LazyCompile: *get /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/debug/src/common.js:123:9
     19    0.0%    0.2%  LazyCompile: *add /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/libp2p/src/peer-store/address-book.js:224:7
     19    0.0%    0.2%  LazyCompile: *<anonymous> /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/libp2p-noise/dist/src/crypto.js:8:28
     18    0.0%    0.2%  LazyCompile: *shallowSlice /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/it-length-prefixed/node_modules/bl/BufferList.js:157:59
     18    0.0%    0.2%  LazyCompile: *red /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/bcrypto/lib/native/bn.js:3109:13
     18    0.0%    0.2%  LazyCompile: *module.exports /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/it-pushable/index.js:3:18
     18    0.0%    0.2%  LazyCompile: *init /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/bcrypto/lib/js/aead.js:48:7
     18    0.0%    0.2%  LazyCompile: *asn1.oidToDer /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/node-forge/lib/asn1.js:743:25
     18    0.0%    0.2%  LazyCompile: *<anonymous> /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/it-pb-rpc/node_modules/it-reader/index.js:4:36
     17    0.0%    0.1%  LazyCompile: *jacobi /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/bcrypto/lib/native/bn.js:3621:16
     17    0.0%    0.1%  LazyCompile: *Readable.read node:internal/streams/readable:394:35
     17    0.0%    0.1%  LazyCompile: *<anonymous> /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/libp2p-noise/dist/src/crypto.js:25:28
     17    0.0%    0.1%  LazyCompile: *<anonymous> /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/it-length-prefixed/src/encode.js:16:38
     16    0.0%    0.1%  LazyCompile: *ReadHandlers /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/it-length-prefixed/src/decode.js:16:23
     15    0.0%    0.1%  LazyCompile: *processTicksAndRejections node:internal/process/task_queues:66:35
     15    0.0%    0.1%  LazyCompile: *pki.publicKeyToAsn1.pki.publicKeyToSubjectPublicKeyInfo /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/node-forge/lib/rsa.js:1416:69
     15    0.0%    0.1%  LazyCompile: *_addM1 /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/bcrypto/lib/js/elliptic.js:7219:9
     14    0.0%    0.1%  LazyCompile: *verify /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/bcrypto/lib/js/aead.js:212:9
     14    0.0%    0.1%  LazyCompile: *module.exports /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/libp2p-mplex/src/stream.js:25:18
     14    0.0%    0.1%  LazyCompile: *module.exports /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/it-buffer/index.js:6:35
     14    0.0%    0.1%  LazyCompile: *bytes2mh /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/multiaddr/src/convert.js:140:19
     14    0.0%    0.1%  LazyCompile: *_initArray /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/asn1.js/node_modules/bn.js/lib/bn.js:143:49
     13    0.0%    0.1%  LazyCompile: *update /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/bcrypto/lib/js/poly1305.js:166:9
     13    0.0%    0.1%  LazyCompile: *createAsyncIterator node:internal/streams/readable:1079:36
     13    0.0%    0.1%  LazyCompile: *bytesToTuples /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/multiaddr/src/codec.js:140:24
     13    0.0%    0.1%  LazyCompile: *asn1.validate /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/node-forge/lib/asn1.js:1136:25
     13    0.0%    0.1%  LazyCompile: *append /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/it-reader/node_modules/bl/BufferList.js:225:47
     13    0.0%    0.1%  LazyCompile: *<anonymous> /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/libp2p-kad-dht/src/index.js:419:20
     12    0.0%    0.1%  LazyCompile: *exports.encode /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/multistream-select/src/multistream.js:15:18
     12    0.0%    0.1%  LazyCompile: *digest /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/multihashing-async/src/sha.js:21:16
     12    0.0%    0.1%  LazyCompile: *createSecureConnection /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/libp2p-noise/dist/src/noise.js:175:33
     12    0.0%    0.1%  LazyCompile: *_init /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/bcrypto/lib/js/elliptic.js:7078:8
     12    0.0%    0.1%  LazyCompile: *_final /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/bcrypto/lib/js/sha256.js:121:9
     11    0.0%    0.1%  LazyCompile: *writeOrBuffer node:internal/streams/writable:371:23
     11    0.0%    0.1%  LazyCompile: *final /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/bcrypto/lib/js/poly1305.js:222:8
     11    0.0%    0.1%  LazyCompile: *encode /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/libp2p-mplex/src/coder/encode.js:47:53
     11    0.0%    0.1%  LazyCompile: *assert /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/bcrypto/lib/internal/assert.js:13:16
     11    0.0%    0.1%  LazyCompile: *append /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/multistream-select/node_modules/bl/BufferList.js:225:47
     11    0.0%    0.1%  LazyCompile: *<anonymous> /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/libp2p-mplex/src/mplex.js:153:11
     10    0.0%    0.1%  LazyCompile: *util.ByteStringBuffer.putByte /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/node-forge/lib/util.js:250:51
     10    0.0%    0.1%  LazyCompile: *module.exports /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/multistream-select/src/handle.js:9:18
     10    0.0%    0.1%  LazyCompile: *ip2long /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/netmask/lib/netmask.js:14:21
     10    0.0%    0.1%  LazyCompile: *encodingLength /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/protons/src/compile/encoding-length.js:19:34
     10    0.0%    0.1%  LazyCompile: *debug /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/debug/src/common.js:64:17
     10    0.0%    0.1%  LazyCompile: *copy /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/it-length-prefixed/node_modules/bl/BufferList.js:78:43
     10    0.0%    0.1%  LazyCompile: *bnToByteArray /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/node-forge/lib/jsbn.js:717:23
     10    0.0%    0.1%  LazyCompile: *add /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/libp2p-kad-dht/src/routing.js:124:13
     10    0.0%    0.1%  LazyCompile: *EdwardsPoint /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/bcrypto/lib/js/elliptic.js:7063:14
     10    0.0%    0.1%  LazyCompile: *<anonymous> /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/stream-to-it/sink.js:3:30
     10    0.0%    0.1%  LazyCompile: *<anonymous> /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/libp2p-tcp/src/socket-to-conn.js:31:38
     10    0.0%    0.1%  LazyCompile: *<anonymous> /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/it-pb-rpc/node_modules/it-handshake/src/index.js:16:53
      9    0.0%    0.1%  LazyCompile: *unmarshalRsaPublicKey /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/libp2p-crypto/src/keys/rsa-class.js:143:32
      9    0.0%    0.1%  LazyCompile: *toB58String /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/multihashes/src/index.js:52:22
      9    0.0%    0.1%  LazyCompile: *slice node:buffer:1116:40
      9    0.0%    0.1%  LazyCompile: *restrictSize /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/libp2p-mplex/src/restrict-size.js:22:43
      9    0.0%    0.1%  LazyCompile: *jwk2pem /home/amanda/Desktop/ipfs-kad-dht-evaluation/node_modules/pem-jwk/index.js:193:17
